attachment,method,papers,device,OR,Format,verify,LOD
Direct,Vacuum-drying,"Kim, 2009. \cite{Kim2009a}",CNTFET,Human,Cell membrane,TEM,100 fM
Non-covalent,GA-conjugated DAN,"Park, 2012. \cite{Park2012}",GFET,Human,Cell membrane,"TX, SEM",0.04 fM
,,"Lee, 2012. \cite{Lee2012b}",CNTFET,Human,Cell membrane,Fluorescence,1 fM
,,"Kwon, 2015.  \cite{Kwon2015}",GFET,Human,Cell membrane,TEM,0.1 fM
,,"Goodwin, 2021.  \cite{Goodwin2021}",GFET,Human,Cell membrane,"AFM, Raman",0.5 pM
,PBASE,"Murugathas, 2019.  \cite{Murugathas2019a}",CNTFET,Insect,Nanodiscs,"TX, AFM",1 fM
,,"Murugathas, 2020.  \cite{Murugathas2020}",GFET,Insect,"Nanovesicles, Nanodiscs ","TX, AFM",1 fM
,,"Ahn, 2020. \cite{Ahn2020}",GFET,Human,Nanovesicles,"TX, SEM",100 fM
,,"Yoo, 2022. \cite{Yoo2022}",CNTFET,Human,Micelles,"TX, AFM",1 fM
,DMT-MM,"Yoon, 2009. \cite{Yoon2009}",CNTFET,Human,Cell membrane,"TX, SEM",10 fM
Covalent,Diazonium salt/Ni-NTA,"Goldsmith, 2011. \cite{Goldsmith2011}",CNTFET,Mouse,"Micelles, Nanodiscs",TX ,~7 ppb
, ,"Son, 2017. \cite{Son2017}",CNTFET,Human,Micelles,"TX, AFM",10 fM
,PDL,"Jin, 2012. \cite{Jin2012}",CNTFET,Human,Nanovesicles,SEM,1 fM
,,"Park, 2012. \cite{Park2012a}",CNTFET,Dog,Nanovesicles,SEM,1 fM
,,"Lim, 2014. \cite{Lim2014}",CNTFET,Human,Nanovesicles,AFM,10 fM
,,"Lim, 2015. \cite{Lim2015}",CNTFET,Human,Nanovesicles,AFM,1 fM
,,"Son, 2015. \cite{Son2015}",CNTFET,Human,Nanovesicles,"TX, SEM",10 ng/L
,,"Ahn, 2015. \cite{Ahn2015}",CNTFET,Human,Nanovesicles,AFM,1 fM
,Half-v5 mouse Ab,"Lee, 2018. \cite{Lee2018}",CNTFET,Human,Nanodiscs,"TX, AFM, SEM",1 fM
