Description,Part No.,Manufacturer,Quantity
Multifunction DAQ USB Device,USB-6009,National Instruments,1
10kOhm resistors,H810KBYA,TE Connectivity,10
100kOhm resistors,H8100KBYA,TE Connectivity,10
1MOhm resistors,H81M0BYA,TE Connectivity,10
Barrel Jacks,PJ-059AH,CUI Devices,4
Toggle Switch,100AWDP1T2B4M2QE,E-Switch,2
220nF ceramic capacitor,FG22C0G1H224JNT06,TDK Corporation,2
6800nF tantalum capacitor,TAP685K010SCS,Kyocera AVX,10
18 position header connector,PRPC018SFAN-RC,Sullins Connector Solutions,10
M/F jumper wire,PRT-12794,SparkFun Electronics,4
25 pin D-sub plug,L717SDB25POL2,Amphenol,2
9 pin D-sub plug,L717SDE09POL2,Amphenol,4
4 position header connector,B4B-EH-A(LF)(SN),JST Sales America Inc.,10
25 position D-sub receptacle connector,G17S2500110EU,Amphenol,2
9 position D-sub receptacle connector,G17S0900110EU,Amphenol,4
15 position D-sub receptacle connector,G17S1500110EU,Amphenol,6
25 Position Two Piece Backshell Connector 180° Shielded,17E-1657-25,Amphenol,1
9 Position Two Piece Backshell Connector 180° Shielded,17E-1657-09,Amphenol,2
15 Position Two Piece Backshell Connector Silver 180° Shielded,17E-1657-15,Amphenol,3
15 W Plug In Power Supply,124-4706,RS Pro,2
Triaxial RF Connector,BJ76,Cinch Connectivity,4
BNC Connector,546-4471,RS Pro.,15
Die Cast Aluminium Enclosure,CN-5705,Bud Industries Inc.,1
,760-8913,RS Pro.,1
Radius Spring Probe,P25-0423,Harwin,9
Spring Probe Receptacle,S25-512,Harwin,9
Brass Standoff Pillars Female,-,Toby,4
12 Pin Plug,S105 A069-130+,Fischer Connectors ,2
Clamp Set 12 Pin,E3 105.1/10.7 + B,"""",2
12 Pin Receptacle,DBPLE 105,"""",2
PTFE Hookup wire 26 AWG,841-7175,RS Pro.,25 m
