Description,Part No.,Manufacturer
"Mass flow controller, 20 sccm full scale",GE50A-013201SBV020,MKS Instruments
"Mass flow controller, 200 sccm full scale",GE50A-013202SBV020,MKS Instruments
"Mass flow controller, 500 sccm full scale ",FC-2901V,Tylan
"Analogue flowmeter, 240 sccm max. flow",116261-30,Dwyer
Micro diaphragm pump,P200-B3C5V-35000,Xavitech
"Analogue flow controller, for micro diaphragm pump",X3000450,Xavitech
10 mL Schott bottle,218010802,Duran
PTFE connection cap system,Z742273,Duran
"Baseline VOC-TRAQ flow cell, red",043-951,Ametek Mocon
Humidity and temperature sensor,T9602-5-A,Telaire
"Enclosure, for humidity and temperature sensor",MC001189,Multicomp Pro
