solvent-based,,,,no steam,,,,steam,,,
transconductance,on-off ratio,threshold voltage,subthreshold slope,transconductance,on-off ratio,threshold voltage,subthreshold slope,transconductance,on-off ratio,threshold voltage,subthreshold slope
4.03775,0.990412548,0.331861565,0.49015985,1.26,4.649679134,0.159601529,11.45828739,0.756,3.580522451,0.380939242,8.933075165
3.86745,3.022299954,0.243378649,6.986974799,3.34,2.725764833,0.1766263,5.647487735,0.86,3.188547521,0.383933713,8.441097196
1.567925,2.230581396,0.335392262,4.768668759,1.4,4.021556999,0.201379047,11.11462342,1.03,3.163318491,0.374448793,7.744545189
0.4826875,3.69895015,0.161078992,9.001886857,4.41,0.799573741,0.165152163,0.285294343,1.22,3.14153617,0.385515836,6.895194324
1.425375,3.146227664,0.22744301,7.955086082,3.7,3.293207867,0.146035911,8.3673079,1.22,3.230991799,0.382365836,7.99725412
3.2456125,2.858940593,0.265479239,6.455127914,0.709,2.313796479,0.224471213,4.708510298,1.2,3.155147174,0.384305128,7.248454615
3.9299125,2.742040998,0.275790569,6.048766432,0.2421375,4.081090457,0.067414027,7.390319363,1.62,3.23768733,0.383618434,6.991156639
2.2813,2.482887078,0.307795695,5.071730748,0.96,4.458575287,0.115861172,11.08311178,1.02,3.039539683,0.390822705,6.537822873
2.4777375,1.675053423,0.325789615,2.227706238,0.624,4.964404877,0.161913681,10.98557112,0.961975,3.495797884,0.36401836,8.017639383
1.74,2.6688909,0.298341497,6.362627342,0.994,4.783989526,0.264655288,12.26453004,0.908,2.995750098,0.350884395,6.352631282
1.89,2.707844954,0.297312226,6.444767978,0.505,4.614360245,0.25059447,11.6822803,1.3,3.259072962,0.367709527,9.023498566
1.131025,3.1275447,0.253723767,7.916903563,0.392,4.402650105,0.245774758,11.90745488,0.855,3.093082523,0.385072636,7.142608717
2.4450375,3.141948945,0.25413182,8.226178262,0.359,4.115200716,0.261152335,9.895924214,1.33,3.182135503,0.382114488,8.841419579
2.9796375,2.560423154,0.305151191,5.819428001,0.9,4.762226243,0.258350047,12.0391351,1,3.024614664,0.375031011,6.371664025
2.2154375,3.162795349,0.247080402,8.583245682,0.44,1.425626398,0.281719277,1.365758801,1.03,3.483593447,0.316684086,8.596078377
2.4767625,2.897226678,0.269861275,7.13840385,0.853,4.246677183,0.278839012,11.49050795,0.901,2.453126013,0.338363898,4.661829944
1.180775,3.069387999,0.250369289,7.785297497,0.735,4.228661098,0.280433289,11.45807047,0.879,2.047794024,0.364441394,3.303011615
2.3123125,2.725774018,0.276824449,7.165033476,0.695,3.826034403,0.326591327,10.8008624,0.803,2.55750141,0.339210227,4.39952152
2.2743,2.296642621,0.307146191,4.885432143,0.217,4.134969366,0.318919068,10.33806473,0.915,2.687923944,0.330758213,4.933742004
1.8310875,3.017913625,0.256573207,7.614902318,0.113,3.647439531,0.285490593,10.54857776,0.622,2.995108172,0.337835721,6.776804213
2.093375,2.776888929,0.260628194,6.520842486,0.668,4.148915348,0.287485162,10.77654015,0.976,2.853988577,0.353932609,6.337304243
