solvent,material,conc,incubation,time,rinse,ref
DMF,CNT,5,Immersed,1,PBS,"Maehashi, 2007. \cite{Maehashi2007}"
,,6,Immersed,1,"DMF, PBS","García-Aljaro, 2010. \cite{Garcia-Aljaro2010}"
,,6,Immersed,1,DMF,"Chen, 2001. \cite{Chen2001}"
,,6,Immersed,1,DMF,"Cella, 2010.  \cite{Cella2010}"
,,6,Immersed,1,DMF,"Das, 2011.  \cite{Das2011}"
,,6,-,2,DMF,"Besteman, 2003.  \cite{Besteman2003}"
,Graphene,-,-,2,DMF,"Tsang, 2019.  \cite{Tsang2019}"
,,-,-,20,-,"Wiedman, 2017. \cite{Wiedman2017}"
,,0.2,Immersed,20,"DMF, IPA, DI water","Gao, 2018. \cite{Gao2018}"
,,1,Dropcast,6,"DMF, IPA, DI water","Nekrasov, 2021. \cite{Nekrasov2021}"
,,5,Immersed,1,"DMF, DI water","Hwang, 2016. \cite{Hwang2016}"
,,5*,Immersed,3*,DMF,"Hao, 2020. \cite{Hao2020}"
,,5,Immersed,4*,"DMF, DI water","Mishyn, 2022. \cite{Mishyn2022}"
,,6,Dropcast,2,"DMF, DI water","Nur Nasufiya, 2020. \cite{NurNasyifa2020}"
,,10,Dropcast,2,"DMF, DI water","Campos, 2019. \cite{Campos2019}"
,,10,Immersed,2,"DMF, PBS","Kuscu, 2020. \cite{Kuscu2020}"
,,10,Immersed,1,DMF,"Xu, 2017. \cite{Xu2017}"
,,10,Immersed,12,"DMF, EtOH, DI water","Khan, 2020. \cite{Khan2020}"
,,50,Immersed,4*,MeOH,"Wang, 2020. \cite{Wang2020}"
2-Methoxyethanol,Graphene,1,Immersed,1,DI water,"Ono, 2020. \cite{Ono2020}"
Methanol,CNT,1,Immersed,1,"MeOH, DI water","Zheng, 2016. \cite{Zheng2016}"
,,1,Immersed,2,MeOH,"Kim, 2009. \cite{Kim2009}"
,,100,Dropcast,1,DI water,"Yoo, 2022. \cite{Yoo2022}"
,Graphene,5,Immersed,2,-,"Sethi, 2020. \cite{Sethi2020}"
,,5,Immersed,1,"MeOH, PBS","Ohno, 2010. \cite{Ohno2010}"
DMSO,CNT,10,-,1,DI water,"Lopez, 2015. \cite{Lopez2015}"
,,10,Immersed,1,PBS,"Strack, 2013. \cite{Strack2013}"
