solvent,material,conc,incubation,time,rinse,ref
DMF,CNTs,5,Immersed,1,PBS,Maehashi et al.
,,6,Immersed,1,"DMF, PBS",García-Aljaro et al.
,,6,Immersed,1,DMF,Chen et al.
,,6,Immersed,1,DMF,Cella et al.
,,6,Immersed,1,DMF,Das  et al.
,Graphene,-,-,2,DMF,Tsang et al.
,,-,-,20,-,Wiedman et al.
,,1,Droplet,6,"DMF, IPA, DI water",Nekrasov et al.
,,5,Immersed,1,"DMF, DI water",Hwang et al.
,,6,Droplet,2,"DMF, DI water",Nasufiya et al.
,,10,Droplet,2,"DMF, DI water",Campos et al.
,,10,Immersed,2,"DMF, PBS",Kuscu et al.
,,10,Immersed,1,DMF,Xu et al.
,,10,Immersed,12,"DMF, ethanol, DI water",Khan et al.
2-Methoxyethanol,Graphene,1,Immersed,1,DI water,Ono et al.
Methanol,CNTs,1,Immersed,1,"Methanol, DI water",Zheng et al.
,,1,Immersed,2,Methanol,Kim et al.
,Graphene,5,Immersed,2,-,Sethi et al.
,,5,Immersed,1,"Methanol, PBS",Ohno et al.
DMSO,CNTs,10,-,1,DI water,Lopez et al.
,,10,Immersed,1,PBS,Strack et al.
,Graphene,10,Immersed,2,"DMSO, ethanol, DI water",Yue et al.
,,,,,,
